Sample	Coverage.total	Coverage.nDNA	Genome.Coverage.rate.x10.total
AT01	70.37	65.65	0.984062
AT02	73.19	67.21	0.984084
AT03	71.43	65.67	0.983898
AT11	68.26	63.60	0.984134
AT12	68.20	62.23	0.984167
AT13	69.68	62.66	0.984201
AT21	67.32	60.92	0.983772
AT22	64.27	58.61	0.983958
AT23	63.64	58.03	0.983933
AT31	72.59	67.71	0.984265
AT32	64.78	59.11	0.984014
AT33	66.94	60.76	0.983988
A011	70.95	66.13	0.984504
A012	61.52	54.44	0.983631
A014	50.17	44.27	0.982981
A021	67.92	60.40	0.984350
A023	60.50	51.33	0.983528
A024	54.38	46.47	0.983178
A031	66.88	61.34	0.984227
A033	61.45	54.31	0.983571
A034	43.45	38.05	0.982397
A113	73.58	64.10	0.984458
A114	70.27	61.69	0.984347
A115	81.68	71.34	0.984658
A121	66.31	58.14	0.984212
A123	75.50	64.63	0.984377
A125	71.03	59.82	0.984171
A131	71.82	61.83	0.984444
A132	70.48	60.09	0.984093
A135	65.41	55.14	0.983965
A212	72.65	59.53	0.984137
A213	71.29	60.05	0.984229
A215	65.55	54.47	0.984115
A221	72.69	59.81	0.984188
A222	69.46	59.30	0.984247
A225	65.26	54.82	0.984069
A231	69.98	59.74	0.984222
A233	62.38	53.40	0.984033
A234	71.58	60.01	0.984229
A311	49.43	41.74	0.982662
A313	68.74	63.48	0.984354
A314	57.60	49.50	0.983421
A321	49.10	41.49	0.982898
A323	50.06	42.26	0.982958
A324	68.95	60.48	0.984400
A331	39.79	32.23	0.981642
A332	66.46	61.60	0.984381
A334	57.33	50.13	0.983423
