SampleID,Family,Treat,Gray,TotalGray,Mutation.Count,Mutation.family.Count,Mutation.homo.Count,Mutation.hetero.Count,SBS.Count,INDEL.Count,Insertion.Count,Deletion.Count
A011,A01,Control,0,0,5,2,2,3,4,1,0,1
A012,A01,Control,0,0,4,2,0,4,3,1,1,0
A014,A01,Control,0,0,2,0,0,2,1,1,1,0
A021,A02,Control,0,0,4,0,0,4,3,1,0,1
A023,A02,Control,0,0,1,0,0,1,0,1,1,0
A024,A02,Control,0,0,2,0,0,2,2,0,0,0
A031,A03,Control,0,0,1,0,0,1,1,0,0,0
A033,A03,Control,0,0,2,0,0,2,0,2,0,2
A034,A03,Control,0,0,1,0,0,1,1,0,0,0
A113,A11,Low,0.4,24,7,3,2,5,5,2,0,2
A114,A11,Low,0.4,24,13,3,2,11,9,4,0,4
A115,A11,Low,0.4,24,8,2,0,8,7,1,0,1
A121,A12,Low,0.4,24,15,0,0,15,11,4,1,3
A123,A12,Low,0.4,24,24,0,3,21,14,10,1,9
A125,A12,Low,0.4,24,10,0,1,9,7,3,0,3
A131,A13,Low,0.4,24,11,2,4,7,7,4,0,4
A132,A13,Low,0.4,24,8,0,5,3,7,1,0,1
A135,A13,Low,0.4,24,15,2,1,14,9,6,0,6
A212,A21,Middle,1.4,84,17,1,0,17,10,7,0,7
A213,A21,Middle,1.4,84,19,4,2,17,13,6,0,6
A215,A21,Middle,1.4,84,21,5,2,19,13,8,1,7
A221,A22,Middle,1.4,84,19,0,2,17,10,9,1,8
A222,A22,Middle,1.4,84,14,0,1,13,7,7,0,7
A225,A22,Middle,1.4,84,23,0,3,20,20,3,1,2
A231,A23,Middle,1.4,84,19,0,3,16,14,5,1,4
A233,A23,Middle,1.4,84,23,0,0,23,15,8,0,8
A234,A23,Middle,1.4,84,14,0,0,14,8,6,1,5
A311,A31,High,2,120,31,1,5,26,15,16,0,16
A313,A31,High,2,120,41,10,1,40,28,13,2,11
A314,A31,High,2,120,34,11,6,28,27,7,1,6
A321,A32,High,2,120,38,0,3,35,25,13,0,13
A323,A32,High,2,120,35,0,4,31,23,12,0,12
A324,A32,High,2,120,35,0,4,31,25,10,0,10
A331,A33,High,2,120,21,7,2,19,19,2,0,2
A332,A33,High,2,120,56,0,9,47,40,16,1,15
A334,A33,High,2,120,25,7,1,24,21,4,1,3
